book_id,title,author,genres,description,average_rating,ratings_count,reviews_count,cleaned_description,standardized_genres
29,Legendary and the Lost Kingdom,Peter Thiel,Fantasy|Business,"A compelling read about innovation, marketing, management, legendary, dragon and magic. This book explores deep themes, masterfully written by Peter Thiel. It stands out in its representation of Fantasy, Business.",3.7,1020,92,"a compelling read about innovation, marketing, management, legendary, dragon and magic. this book explores deep themes, masterfully written by peter thiel. it stands out in its representation of fantasy, business.",business|fantasy
30,The Threat Conspiracy,Yuval Noah Harari,Thriller,"A compelling read about tension, threat and deadly. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Thriller.",3.44,1623,93,"a compelling read about tension, threat and deadly. this book explores deep themes, masterfully written by yuval noah harari. it stands out in its representation of thriller.",thriller
31,The Culture Era,Colleen Hoover,Non-fiction|Self-Help,"Uncovering the intricacies of growth, this masterpiece by Colleen Hoover combines elements of Non-fiction, Self-Help to create a breathtaking experience. Dive into a world where facts and culture shape the ultimate destiny.",3.44,364,52,"uncovering the intricacies of growth, this masterpiece by colleen hoover combines elements of non-fiction, self-help to create a breathtaking experience. dive into a world where facts and culture shape the ultimate destiny.",non-fiction|self-help
32,The Life of Autobiography,Adam Grant,Biography|Historical Fiction,"A compelling read about struggle, triumph, inspiration, heritage, history and achievement. This book explores deep themes, masterfully written by Adam Grant. It stands out in its representation of Biography, Historical Fiction.",4.03,2669,366,"a compelling read about struggle, triumph, inspiration, heritage, history and achievement. this book explores deep themes, masterfully written by adam grant. it stands out in its representation of biography, historical fiction.",biography|historical fiction
33,The Murder Enigma,Adam Grant,Mystery,"A compelling read about crime, mystery and suspect. This book explores deep themes, masterfully written by Adam Grant. It stands out in its representation of Mystery.",3.56,1231,171,"a compelling read about crime, mystery and suspect. this book explores deep themes, masterfully written by adam grant. it stands out in its representation of mystery.",mystery
34,Atomic Goals,Philip K. Dick,Self-Help,"Uncovering the intricacies of lifestyle, this masterpiece by Philip K. Dick combines elements of Self-Help to create a breathtaking experience. Dive into a world where focus and mindset shape the ultimate destiny.",4.42,821,114,"uncovering the intricacies of lifestyle, this masterpiece by philip k. dick combines elements of self-help to create a breathtaking experience. dive into a world where focus and mindset shape the ultimate destiny.",self-help
35,Hearts in Romance,Daniel Kahneman,Romance|Science Fiction,"Uncovering the intricacies of galaxy, this masterpiece by Daniel Kahneman combines elements of Romance, Science Fiction to create a breathtaking experience. Dive into a world where date and lovers shape the ultimate destiny.",3.48,448,32,"uncovering the intricacies of galaxy, this masterpiece by daniel kahneman combines elements of romance, science fiction to create a breathtaking experience. dive into a world where date and lovers shape the ultimate destiny.",romance|science fiction
36,Shadows of Rebel,Gillian Flynn,Historical Fiction,"Written by the acclaimed author Gillian Flynn, this title delivers a gripping narrative centering on heritage and vintage. Ideal for fans of Historical Fiction, it offers an immersive journey filled with century.",4.37,468,63,"written by the acclaimed author gillian flynn, this title delivers a gripping narrative centering on heritage and vintage. ideal for fans of historical fiction, it offers an immersive journey filled with century.",historical fiction
37,The Heir of Magic,Robert Kiyosaki,Fantasy|Science Fiction|Non-fiction,"Uncovering the intricacies of galaxy, this masterpiece by Robert Kiyosaki combines elements of Fantasy, Science Fiction, Non-fiction to create a breathtaking experience. Dive into a world where mind and artificial intelligence shape the ultimate destiny.",3.8,501,45,"uncovering the intricacies of galaxy, this masterpiece by robert kiyosaki combines elements of fantasy, science fiction, non-fiction to create a breathtaking experience. dive into a world where mind and artificial intelligence shape the ultimate destiny.",fantasy|non-fiction|science fiction
38,The Chronicles of Hero,Arthur C. Clarke,Fantasy,"Written by the acclaimed author Arthur C. Clarke, this title delivers a gripping narrative centering on magic and dragon. Ideal for fans of Fantasy, it offers an immersive journey filled with legendary.",3.62,470,39,"written by the acclaimed author arthur c. clarke, this title delivers a gripping narrative centering on magic and dragon. ideal for fans of fantasy, it offers an immersive journey filled with legendary.",fantasy
39,The Case of the Detective,Malcolm Gladwell,Mystery,"Written by the acclaimed author Malcolm Gladwell, this title delivers a gripping narrative centering on crime and mystery. Ideal for fans of Mystery, it offers an immersive journey filled with detective.",3.73,1080,110,"written by the acclaimed author malcolm gladwell, this title delivers a gripping narrative centering on crime and mystery. ideal for fans of mystery, it offers an immersive journey filled with detective.",mystery
40,The Agent Conspiracy,Brandon Sanderson,Thriller,"Uncovering the intricacies of survival, this masterpiece by Brandon Sanderson combines elements of Thriller to create a breathtaking experience. Dive into a world where chase and threat shape the ultimate destiny.",3.38,3585,527,"uncovering the intricacies of survival, this masterpiece by brandon sanderson combines elements of thriller to create a breathtaking experience. dive into a world where chase and threat shape the ultimate destiny.",thriller
41,Danger Point,Tim Ferriss,Thriller,"Uncovering the intricacies of chase, this masterpiece by Tim Ferriss combines elements of Thriller to create a breathtaking experience. Dive into a world where conspiracy and danger shape the ultimate destiny.",2.94,644,50,"uncovering the intricacies of chase, this masterpiece by tim ferriss combines elements of thriller to create a breathtaking experience. dive into a world where conspiracy and danger shape the ultimate destiny.",thriller
42,The Society Perspective,Stephen King,Non-fiction|Thriller|Romance,"A compelling read about analysis, deadly, affection, system, urgency, relationship, action, science and romance. This book explores deep themes, masterfully written by Stephen King. It stands out in its representation of Non-fiction, Thriller, Romance.",3.85,395,39,"a compelling read about analysis, deadly, affection, system, urgency, relationship, action, science and romance. this book explores deep themes, masterfully written by stephen king. it stands out in its representation of non-fiction, thriller, romance.",non-fiction|romance|thriller
43,The Assassin Target,Yuval Noah Harari,Thriller,"Uncovering the intricacies of escape, this masterpiece by Yuval Noah Harari combines elements of Thriller to create a breathtaking experience. Dive into a world where agent and assassin shape the ultimate destiny.",3.71,955,61,"uncovering the intricacies of escape, this masterpiece by yuval noah harari combines elements of thriller to create a breathtaking experience. dive into a world where agent and assassin shape the ultimate destiny.",thriller
44,Mastering your Habits,Colleen Hoover,Self-Help,"Written by the acclaimed author Colleen Hoover, this title delivers a gripping narrative centering on goals and growth. Ideal for fans of Self-Help, it offers an immersive journey filled with success.",3.95,659,48,"written by the acclaimed author colleen hoover, this title delivers a gripping narrative centering on goals and growth. ideal for fans of self-help, it offers an immersive journey filled with success.",self-help
45,The Wealth Advantage,Malcolm Gladwell,Business,"Uncovering the intricacies of corporate, this masterpiece by Malcolm Gladwell combines elements of Business to create a breathtaking experience. Dive into a world where economy and strategy shape the ultimate destiny.",4.31,1639,120,"uncovering the intricacies of corporate, this masterpiece by malcolm gladwell combines elements of business to create a breathtaking experience. dive into a world where economy and strategy shape the ultimate destiny.",business
46,The Startup Advantage,Gillian Flynn,Business,"Uncovering the intricacies of economy, this masterpiece by Gillian Flynn combines elements of Business to create a breathtaking experience. Dive into a world where startup and wealth shape the ultimate destiny.",3.44,3501,396,"uncovering the intricacies of economy, this masterpiece by gillian flynn combines elements of business to create a breathtaking experience. dive into a world where startup and wealth shape the ultimate destiny.",business
47,Mastering your Lifestyle,Malcolm Gladwell,Self-Help|Thriller|Historical Fiction,"Written by the acclaimed author Malcolm Gladwell, this title delivers a gripping narrative centering on wisdom and generation. Ideal for fans of Self-Help, Thriller, Historical Fiction, it offers an immersive journey filled with century, tension, assassin, heritage, escape, motivation, goals.",4.06,9214,543,"written by the acclaimed author malcolm gladwell, this title delivers a gripping narrative centering on wisdom and generation. ideal for fans of self-help, thriller, historical fiction, it offers an immersive journey filled with century, tension, assassin, heritage, escape, motivation, goals.",historical fiction|self-help|thriller
48,Hearts in Relationship,Dale Carnegie,Romance,"Uncovering the intricacies of marriage, this masterpiece by Dale Carnegie combines elements of Romance to create a breathtaking experience. Dive into a world where date and emotional shape the ultimate destiny.",3.58,2013,138,"uncovering the intricacies of marriage, this masterpiece by dale carnegie combines elements of romance to create a breathtaking experience. dive into a world where date and emotional shape the ultimate destiny.",romance
49,The Detective Alibi,Yuval Noah Harari,Mystery|Romance,"Uncovering the intricacies of suspect, this masterpiece by Yuval Noah Harari combines elements of Mystery, Romance to create a breathtaking experience. Dive into a world where mystery and emotional shape the ultimate destiny.",3.84,363,42,"uncovering the intricacies of suspect, this masterpiece by yuval noah harari combines elements of mystery, romance to create a breathtaking experience. dive into a world where mystery and emotional shape the ultimate destiny.",mystery|romance
50,Life Unveiled,Walter Isaacson,Biography,"Uncovering the intricacies of struggle, this masterpiece by Walter Isaacson combines elements of Biography to create a breathtaking experience. Dive into a world where legacy and triumph shape the ultimate destiny.",3.8,428,31,"uncovering the intricacies of struggle, this masterpiece by walter isaacson combines elements of biography to create a breathtaking experience. dive into a world where legacy and triumph shape the ultimate destiny.",biography
51,Goals Habits,Brandon Sanderson,Self-Help,"Uncovering the intricacies of productivity, this masterpiece by Brandon Sanderson combines elements of Self-Help to create a breathtaking experience. Dive into a world where habits and motivation shape the ultimate destiny.",3.32,1174,139,"uncovering the intricacies of productivity, this masterpiece by brandon sanderson combines elements of self-help to create a breathtaking experience. dive into a world where habits and motivation shape the ultimate destiny.",self-help
52,The Conspiracy Conspiracy,Agatha Christie,Thriller,"A compelling read about urgency, threat and deadly. This book explores deep themes, masterfully written by Agatha Christie. It stands out in its representation of Thriller.",4.08,548,34,"a compelling read about urgency, threat and deadly. this book explores deep themes, masterfully written by agatha christie. it stands out in its representation of thriller.",thriller
53,How to Build a Wealth,Gillian Flynn,Business,"A compelling read about wealth, economy and entrepreneur. This book explores deep themes, masterfully written by Gillian Flynn. It stands out in its representation of Business.",3.45,451,64,"a compelling read about wealth, economy and entrepreneur. this book explores deep themes, masterfully written by gillian flynn. it stands out in its representation of business.",business
54,The Chronicles of Prophecy,Daniel Kahneman,Fantasy,"Written by the acclaimed author Daniel Kahneman, this title delivers a gripping narrative centering on quest and dragon. Ideal for fans of Fantasy, it offers an immersive journey filled with legendary.",3.64,1296,150,"written by the acclaimed author daniel kahneman, this title delivers a gripping narrative centering on quest and dragon. ideal for fans of fantasy, it offers an immersive journey filled with legendary.",fantasy
55,The Urgency Conspiracy,Adam Grant,Thriller,"Uncovering the intricacies of survival, this masterpiece by Adam Grant combines elements of Thriller to create a breathtaking experience. Dive into a world where urgency and danger shape the ultimate destiny.",3.9,3192,328,"uncovering the intricacies of survival, this masterpiece by adam grant combines elements of thriller to create a breathtaking experience. dive into a world where urgency and danger shape the ultimate destiny.",thriller
56,Struggle Unveiled,Sheryl Sandberg,Biography,"A compelling read about struggle, personal and triumph. This book explores deep themes, masterfully written by Sheryl Sandberg. It stands out in its representation of Biography.",3.65,519,72,"a compelling read about struggle, personal and triumph. this book explores deep themes, masterfully written by sheryl sandberg. it stands out in its representation of biography.",biography
57,Achievement and His Times,Jane Austen,Biography|Business,"Written by the acclaimed author Jane Austen, this title delivers a gripping narrative centering on leadership and struggle. Ideal for fans of Biography, Business, it offers an immersive journey filled with triumph, career, sales, finance.",3.92,1699,142,"written by the acclaimed author jane austen, this title delivers a gripping narrative centering on leadership and struggle. ideal for fans of biography, business, it offers an immersive journey filled with triumph, career, sales, finance.",biography|business
58,The Affection Promise,Dan Brown,Romance,"A compelling read about passion, affection and lovers. This book explores deep themes, masterfully written by Dan Brown. It stands out in its representation of Romance.",4.38,234,32,"a compelling read about passion, affection and lovers. this book explores deep themes, masterfully written by dan brown. it stands out in its representation of romance.",romance
59,Understanding Mind,Philip K. Dick,Non-fiction,"Written by the acclaimed author Philip K. Dick, this title delivers a gripping narrative centering on culture and analysis. Ideal for fans of Non-fiction, it offers an immersive journey filled with society.",3.91,1008,115,"written by the acclaimed author philip k. dick, this title delivers a gripping narrative centering on culture and analysis. ideal for fans of non-fiction, it offers an immersive journey filled with society.",non-fiction
60,The Life of Life,Malcolm Gladwell,Biography,"Uncovering the intricacies of portrait, this masterpiece by Malcolm Gladwell combines elements of Biography to create a breathtaking experience. Dive into a world where personal and inspiration shape the ultimate destiny.",3.9,1838,93,"uncovering the intricacies of portrait, this masterpiece by malcolm gladwell combines elements of biography to create a breathtaking experience. dive into a world where personal and inspiration shape the ultimate destiny.",biography
61,Zero to Startup,Yuval Noah Harari,Business,"Written by the acclaimed author Yuval Noah Harari, this title delivers a gripping narrative centering on economy and strategy. Ideal for fans of Business, it offers an immersive journey filled with finance.",3.93,282,14,"written by the acclaimed author yuval noah harari, this title delivers a gripping narrative centering on economy and strategy. ideal for fans of business, it offers an immersive journey filled with finance.",business
62,The Power of Productivity,Arthur Conan Doyle,Self-Help,"Written by the acclaimed author Arthur Conan Doyle, this title delivers a gripping narrative centering on productivity and growth. Ideal for fans of Self-Help, it offers an immersive journey filled with discipline.",3.88,154,18,"written by the acclaimed author arthur conan doyle, this title delivers a gripping narrative centering on productivity and growth. ideal for fans of self-help, it offers an immersive journey filled with discipline.",self-help
63,The Reality Perspective,Colleen Hoover,Non-fiction,"A compelling read about human, system and analysis. This book explores deep themes, masterfully written by Colleen Hoover. It stands out in its representation of Non-fiction.",3.26,1462,177,"a compelling read about human, system and analysis. this book explores deep themes, masterfully written by colleen hoover. it stands out in its representation of non-fiction.",non-fiction
64,The Power of Lifestyle,Peter Thiel,Self-Help|Fantasy|Non-fiction,"Written by the acclaimed author Peter Thiel, this title delivers a gripping narrative centering on hero and dragon. Ideal for fans of Self-Help, Fantasy, Non-fiction, it offers an immersive journey filled with analysis, mindset, happiness, world, science, habits, realm.",3.46,171,21,"written by the acclaimed author peter thiel, this title delivers a gripping narrative centering on hero and dragon. ideal for fans of self-help, fantasy, non-fiction, it offers an immersive journey filled with analysis, mindset, happiness, world, science, habits, realm.",fantasy|non-fiction|self-help
65,Legacy of Century,Colleen Hoover,Historical Fiction,"Written by the acclaimed author Colleen Hoover, this title delivers a gripping narrative centering on history and generation. Ideal for fans of Historical Fiction, it offers an immersive journey filled with century.",4.23,1091,126,"written by the acclaimed author colleen hoover, this title delivers a gripping narrative centering on history and generation. ideal for fans of historical fiction, it offers an immersive journey filled with century.",historical fiction
66,Atomic Productivity,George R.R. Martin,Self-Help,"A compelling read about lifestyle, habits and mindset. This book explores deep themes, masterfully written by George R.R. Martin. It stands out in its representation of Self-Help.",3.41,792,68,"a compelling read about lifestyle, habits and mindset. this book explores deep themes, masterfully written by george r.r. martin. it stands out in its representation of self-help.",self-help
67,Urgency Point,Dan Brown,Thriller|Fantasy|Mystery,"Uncovering the intricacies of puzzle, this masterpiece by Dan Brown combines elements of Thriller, Fantasy, Mystery to create a breathtaking experience. Dive into a world where threat and realm shape the ultimate destiny.",3.4,249,36,"uncovering the intricacies of puzzle, this masterpiece by dan brown combines elements of thriller, fantasy, mystery to create a breathtaking experience. dive into a world where threat and realm shape the ultimate destiny.",fantasy|mystery|thriller
68,Space Millennium,Arthur C. Clarke,Science Fiction|Mystery|Romance,"A compelling read about suspect, technology, future, relationship, devotion, marriage, murder, investigation and artificial intelligence. This book explores deep themes, masterfully written by Arthur C. Clarke. It stands out in its representation of Science Fiction, Mystery, Romance.",4.2,498,56,"a compelling read about suspect, technology, future, relationship, devotion, marriage, murder, investigation and artificial intelligence. this book explores deep themes, masterfully written by arthur c. clarke. it stands out in its representation of science fiction, mystery, romance.",mystery|romance|science fiction
69,Love Forever,Arthur Conan Doyle,Romance|Science Fiction,"Uncovering the intricacies of alien, this masterpiece by Arthur Conan Doyle combines elements of Romance, Science Fiction to create a breathtaking experience. Dive into a world where affection and emotional shape the ultimate destiny.",3.81,3805,409,"uncovering the intricacies of alien, this masterpiece by arthur conan doyle combines elements of romance, science fiction to create a breathtaking experience. dive into a world where affection and emotional shape the ultimate destiny.",romance|science fiction
70,Kingdom and the Lost Kingdom,Robert Kiyosaki,Fantasy|Non-fiction,"A compelling read about analysis, wizard, prophecy, human, realm and mind. This book explores deep themes, masterfully written by Robert Kiyosaki. It stands out in its representation of Fantasy, Non-fiction.",3.17,638,77,"a compelling read about analysis, wizard, prophecy, human, realm and mind. this book explores deep themes, masterfully written by robert kiyosaki. it stands out in its representation of fantasy, non-fiction.",fantasy|non-fiction
71,Whispering Spark,Ray Bradbury,Romance|Self-Help,"Written by the acclaimed author Ray Bradbury, this title delivers a gripping narrative centering on productivity and emotional. Ideal for fans of Romance, Self-Help, it offers an immersive journey filled with devotion, habits, motivation, romance.",3.32,1186,170,"written by the acclaimed author ray bradbury, this title delivers a gripping narrative centering on productivity and emotional. ideal for fans of romance, self-help, it offers an immersive journey filled with devotion, habits, motivation, romance.",romance|self-help
72,No Way Tension,Peter Thiel,Thriller|Biography,"Written by the acclaimed author Peter Thiel, this title delivers a gripping narrative centering on agent and legacy. Ideal for fans of Thriller, Biography, it offers an immersive journey filled with triumph, chase, conspiracy, journey.",3.74,1617,237,"written by the acclaimed author peter thiel, this title delivers a gripping narrative centering on agent and legacy. ideal for fans of thriller, biography, it offers an immersive journey filled with triumph, chase, conspiracy, journey.",biography|thriller
73,The Devotion Promise,Colleen Hoover,Romance,"A compelling read about lovers, date and romance. This book explores deep themes, masterfully written by Colleen Hoover. It stands out in its representation of Romance.",3.42,108,14,"a compelling read about lovers, date and romance. this book explores deep themes, masterfully written by colleen hoover. it stands out in its representation of romance.",romance
